original_address,original___parsed_extra,lat,lon,formatted,housenumber,name,street,district,suburb,postcode,city,confidence_city_level,county,state,confidence_street_level,country,country_code,confidence,attribution,attribution_license,attribution_url
"KODÁLY ZOLTÁN ÚT 3.,"" VÁC"",47.815389,20.588009,""Mezőkövesd, Kodály Zoltán út, 3400, Magyarország"",,Kodály Zoltán út,Kodály Zoltán út,,,3400,Mezőkövesd,,Borsod-Abaúj-Zemplén vármegye,Észak-Magyarország,,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"PETOFI TÉR 4-6.,"" GÖDÖLLO"",47.601212,19.347587,""Gödöllő, Petőfi Sándor tér 4-6, 2100, Magyarország"",4-6,,Petőfi Sándor tér,,,2100,Gödöllő,,Pest,Közép-Magyarország,,Magyarország,hu,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"ZRÍNYI UTCA 3. ,"" BUDAPEST"",47.551559100000006,18.95890662756488,""Budapest, Zrínyi utca 3, 1028, Magyarország"",3,,Zrínyi utca,II. kerület,Remetekertváros,1028,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"VITKOVICS MIHÁLY UTCA 8.,"" BUDAPEST"",47.495041,19.056595759502194,""Budapest, Vitkovics Mihály utca 8, 1052, Magyarország"",8,,Vitkovics Mihály utca,V. kerület,Pest,1052,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"NEUMANN J. ÚT HRSZ.:3324/21,"" DUNAÚJVÁROS"",46.898693,19.669382,""Neumann János Egyetem, Kecskemét, Bács-Kiskun, Magyarország"",,Neumann János Egyetem,,,,,Kecskemét,,Bács-Kiskun,Dél-Alföld,,Magyarország,hu,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"PÁRKÁNY UTCA 4A-4B,"" BUDAPEST"",47.5274926,19.0596682,""Budapest, Párkány utca, 1138, Magyarország"",,Párkány utca,Párkány utca,XIII. kerület,Vizafogó,1138,Budapest,,,Közép-Magyarország,,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"VIZAFOGÓ SÉTÁNY 2/C-D,"" BUDAPEST"",47.5316577,19.0598419,""Budapest, Vizafogó sétány, 1138, Magyarország"",,Vizafogó sétány,Vizafogó sétány,XIII. kerület,Vizafogó,1138,Budapest,,,Közép-Magyarország,,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"PÁRKÁNY UTCA 6A-6B,"" BUDAPEST"",47.5274926,19.0596682,""Budapest, Párkány utca, 1138, Magyarország"",,Párkány utca,Párkány utca,XIII. kerület,Vizafogó,1138,Budapest,,,Közép-Magyarország,,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"VIZAFOGÓ SÉTÁNY 2/B.,"" BUDAPEST"",47.5281628,19.0587654,""Budapest, Vizafogó sétány 2/B, 1138, Magyarország"",2/B,,Vizafogó sétány,XIII. kerület,Vizafogó,1138,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"JÁSZ UTCA 58/B 1.LP,"" BUDAPEST"",47.370651,20.099579,""Jászalsószentgyörgy, Jász utca, Magyarország"",,,Jász utca,,,,Jászalsószentgyörgy,,Jász-Nagykun-Szolnok,Észak-Alföld,,Magyarország,hu,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"JÁSZ UTCA 58/B 2.LP,"" BUDAPEST"",47.370651,20.099579,""Jászalsószentgyörgy, Jász utca, Magyarország"",,,Jász utca,,,,Jászalsószentgyörgy,,Jász-Nagykun-Szolnok,Észak-Alföld,,Magyarország,hu,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"ÜVEGGYÁR ÚT 10. HRSZ.: 300/1,"" KÖRNYE"",,,,,,,,,,,,,,,,,,,,"
"PETOFI SÁNDOR UTCA 1.,"" SÁROSPATAK"",47.7529577,19.0841868,""Tahitótfalu, Petőfi Sándor utca 1, 2021, Magyarország"",1,,Petőfi Sándor utca,Tótfalu,,2021,Tahitótfalu,,Pest vármegye,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"FRANGEPÁN UTCA 65.,"" BUDAPEST"",47.53314865,19.08313253386312,""Budapest, Frangepán utca 65, 1135, Magyarország"",65,,Frangepán utca,XIII. kerület,Angyalföld,1135,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MARCZIBÁNYI TÉR 6.-MAKOVECZ TÉR 6.,"" MAKÓ"",47.514129,19.020456,""Budapest, Marczibányi tér 6-7, 1022, Magyarország"",6-7,,Marczibányi tér,,Buda,1022,Budapest,,Budapest,Közép-Magyarország,,Magyarország,hu,0.54,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KIRÁLYHEGYESI ÚT 3.,"" MAKÓ"",46.2277223,20.5094703,""Makó, Királyhegyesi út, 6900, Magyarország"",,Királyhegyesi út,Királyhegyesi út,,Ipari terület,6900,Makó,,Csongrád-Csanád vármegye,Dél-Alföld,,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BUDAI NAGY ANTAL U. 82.,"" HAJDÚBÖSZÖRMÉNY"",47.3940436,19.2604433,""Vecsés, Budai Nagy Antal utca 82, 2220, Magyarország"",82,,Budai Nagy Antal utca,,Kispatak-lakópark,2220,Vecsés,,Pest vármegye,Közép-Magyarország,,Magyarország,hu,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"FUTÁR UTCA 18.,"" BUDAPEST"",47.53933585,19.088659976462424,""Budapest, Futár utca 18, 1131, Magyarország"",18,,Futár utca,XIII. kerület,Angyalföld,1131,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KÁPOLNA UTCA 2-4. HRSZ.: 228461/1,"" BP."",47.415506,19.011718,""Budapest, Kápolna utca 2-4, 1223, Magyarország"",2-4,,Kápolna utca,,Budafok,1223,Budapest,,Budapest,Közép-Magyarország,,Magyarország,hu,0.5454545454545454,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"VASVÁRY PÁL UTCA 1.,"" GYOR"",47.4481235,18.5411598,""Bodmér, Vasváry Pál utca, 8080, Magyarország"",,Vasváry Pál utca,Vasváry Pál utca,,,8080,Bodmér,,Fejér vármegye,Közép-Dunántúl,,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"VÁROSHÁZ TÉR 8,"" MISKOLC"",48.1036685,20.7779134,""Miskolc, Városház tér 8, 3525, Magyarország"",8,,Városház tér,Jókai-lakótelep,Belváros,3525,Miskolc,,Borsod-Abaúj-Zemplén vármegye,Észak-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"VERECKE U. 114. HRSZ.: 15892/7,"" BP."",,,,,,,,,,,,,,,,,,,,"
"RÁKÓCZI F. UTCA 12.,"" KISÚJSZÁLLÁS"",47.4531597,18.587639,""Felcsút, Rákóczi Ferenc utca 1/F, 8086, Magyarország"",1/F,,Rákóczi Ferenc utca,,,8086,Felcsút,,Fejér vármegye,Közép-Dunántúl,,Magyarország,hu,0.4909090909090909,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
